위성명,NORAD_ID,통과시간(UTC),최대앙각(°),궤도고도(km)
TBA - TO BE ASSIGNED,81329,2022-08-04 08:59:00,67.4,931.8
STARLINK-4110,53166,2022-08-04 03:09:00,67.3,354.4
STARLINK-4041,52695,2022-08-04 15:18:00,67.3,543.2
TBA - TO BE ASSIGNED,82616,2022-08-04 02:33:00,67.2,645.1
TBA - TO BE ASSIGNED,270111,2022-08-04 09:53:00,67.2,788.2
TBA - TO BE ASSIGNED,82180,2022-08-04 08:13:00,67.2,621.7
STARLINK-4311,53062,2022-08-04 09:46:00,67.1,418.3
H-2A DEB,53127,2022-08-04 18:12:00,67.1,589.0
TBA - TO BE ASSIGNED,89379,2022-08-04 03:47:00,67.0,1105.7
TBA - TO BE ASSIGNED,81902,2022-08-04 21:21:00,67.0,597.8
STARLINK-4155,53036,2022-08-04 12:46:00,67.0,352.6
TBA - TO BE ASSIGNED,53098,2022-08-04 20:37:00,67.0,674.6
STARLINK-4307,53063,2022-08-04 21:25:00,67.0,418.9
STARLINK-4188,52843,2022-08-04 17:02:00,66.9,460.4
STARLINK-4088,53155,2022-08-04 03:10:00,66.9,356.2
NUSAT-28 (ALICE LEE),52747,2022-08-04 17:10:00,66.8,514.1
TBA - TO BE ASSIGNED,270016,2022-08-04 21:20:00,66.7,1089.4
STARLINK-4084,52657,2022-08-04 01:10:00,66.7,546.6
STARLINK-4055,53161,2022-08-04 03:09:00,66.7,354.4
TBA - TO BE ASSIGNED,81537,2022-08-04 04:24:00,66.5,936.8
STARLINK-3895,52583,2022-08-04 22:51:00,66.5,544.1
TBA - TO BE ASSIGNED,82741,2022-08-04 22:07:00,66.4,935.7
STARLINK-4270,52863,2022-08-04 07:42:00,66.3,351.8
TBA - TO BE ASSIGNED,87304,2022-08-04 18:58:00,66.3,661.6
TBA - TO BE ASSIGNED,81624,2022-08-04 13:17:00,66.3,773.3
STARLINK-4200,52876,2022-08-04 07:40:00,66.2,352.2
