w_mentions,w_goldstein,w_tone,w_geo,w_zscore,f1,precision,recall,best_threshold
0.0,0.4,0.2,0.3,0.1,0.22900763358778625,0.19230769230769232,0.2830188679245283,0.45
0.0,0.4,0.2,0.4,0.0,0.22448979591836737,0.1888412017167382,0.27672955974842767,0.45
0.0,0.4,0.3,0.0,0.3,0.24089635854341737,0.21717171717171718,0.27044025157232704,0.4
0.0,0.4,0.3,0.1,0.2,0.2433234421364985,0.2303370786516854,0.2578616352201258,0.45
0.0,0.4,0.3,0.2,0.1,0.24074074074074073,0.23636363636363636,0.24528301886792453,0.5
0.0,0.4,0.3,0.3,0.0,0.23564954682779454,0.22674418604651161,0.24528301886792453,0.5
0.0,0.4,0.4,0.0,0.2,0.24089635854341737,0.21717171717171718,0.27044025157232704,0.4
0.0,0.4,0.4,0.1,0.1,0.23283582089552235,0.2215909090909091,0.24528301886792453,0.45
0.0,0.4,0.4,0.2,0.0,0.22941176470588237,0.2154696132596685,0.24528301886792453,0.45
0.0,0.4,0.5,0.0,0.1,0.24157303370786515,0.2182741116751269,0.27044025157232704,0.4
0.0,0.4,0.5,0.1,0.0,0.22151898734177217,0.2229299363057325,0.22012578616352202,0.55
0.0,0.4,0.6,0.0,0.0,0.22151898734177217,0.2229299363057325,0.22012578616352202,0.55
0.0,0.5,0.0,0.0,0.5,0.275,0.4074074074074074,0.20754716981132076,0.5
0.0,0.5,0.0,0.1,0.4,0.2545454545454545,0.45901639344262296,0.1761006289308176,0.55
0.0,0.5,0.0,0.2,0.3,0.27530364372469635,0.38636363636363635,0.2138364779874214,0.55
0.0,0.5,0.0,0.3,0.2,0.23100303951367782,0.2235294117647059,0.2389937106918239,0.55
0.0,0.5,0.0,0.4,0.1,0.24896265560165973,0.36585365853658536,0.18867924528301888,0.6
0.0,0.5,0.0,0.5,0.0,0.2184300341296928,0.14988290398126464,0.4025157232704403,0.1
0.0,0.5,0.1,0.0,0.4,0.25531914893617025,0.39473684210526316,0.18867924528301888,0.55
